id,category,status,dataset,file,range_start,range_stop,accum_parent,time_start,time_end,cpu_time,memory,fin,fout
87,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/3DE27AC4-666E-814E-81E4-FAEA41E27A70.root,0,960000,,1743698053.862598,1743698062.619996,10.703259,164.0,0,0.000417
84,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/D9E7ED91-573E-7448-A31D-D7EB86D237D8.root,0,1280000,,1743698054.223113,1743698063.440093,11.427389,167.0,0,0.000417
71,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/72DE1A8F-B8E6-9C4E-A073-02C6036C7B00.root,0,1120000,,1743698054.897116,1743698063.701578,11.057124,166.0,0,0.000417
63,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/CB838D6F-6B19-B148-9854-84D42DDC522D.root,0,800000,,1743698055.23362,1743698064.339638,11.734431,162.0,0,0.000417
93,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/9E3F7ECD-2D23-E74D-86E0-05F8B0A4FB8E.root,0,1120000,,1743698062.643295,1743698064.373643,1.458098,165.0,0,0.000417
54,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/E4F824A3-3F8C-564F-9AF4-6556DF7D3CC9.root,0,732000,,1743698055.570706,1743698064.440788,11.06057,161.0,0,0.000417
78,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/DB0C948B-3FED-384D-AF48-B4275AEA6EC2.root,0,1280000,,1743698054.559826,1743698064.64667,11.567554,168.0,0,0.000417
44,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/A5FD3B0B-1E75-A245-9A3E-EECECEDDA65E.root,0,1280000,,1743698056.013649,1743698064.706813,10.746041,167.0,0,0.000417
12,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/C3D3A402-E71C-C84D-AD85-4881BD795D09.root,0,1280000,,1743698063.460174,1743698065.079246,1.45967,167.0,0,0.000417
73,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/3FBB724F-E747-3D41-84F6-21224B62F3F7.root,0,800000,,1743698056.388088,1743698065.193957,10.902112,162.0,0,0.000417
23,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/47C6CCFD-2B70-994C-97D4-3EB9FEBC4C4E.root,0,800000,,1743698063.72231,1743698065.314403,1.366385,162.0,0,0.000417
24,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/F8026124-C3C3-424A-A0A2-0888756AED09.root,0,1280000,,1743698064.36088,1743698066.033336,1.491332,167.0,0,0.000417
13,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/2D764A69-C69D-BB41-8FDE-D85BA88A9055.root,0,960000,,1743698064.396558,1743698066.058685,1.499362,164.0,0,0.000417
94,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/74AEE4CE-B242-4242-9AD9-382EEEFB223C.root,0,1120000,,1743698064.460853,1743698066.112249,1.497293,165.0,0,0.000417
30,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/E51E35AD-594B-404F-9BE4-AB42DE6EAF35.root,0,1120000,,1743698057.409813,1743698066.189374,10.697611,166.0,0,0.000417
27,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/292B87E5-487C-5E4D-95F2-3A9DEAF9F91D.root,0,960000,,1743698064.726923,1743698066.265062,1.392117,164.0,0,0.000417
15,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/EFBBD9DF-1B6A-C54A-9CA5-704B819BB6A8.root,0,960000,,1743698057.746271,1743698066.317637,10.55276,164.0,0,0.000417
59,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/A5836D7B-01E0-624B-BC77-D75A402B903F.root,0,1296000,,1743698056.723438,1743698066.423685,11.328935,168.0,0,0.000417
66,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/AC1E7C96-1E0D-F447-912B-50BD8D549516.root,0,960000,,1743698064.666289,1743698066.411413,1.628336,164.0,0,0.000417
10,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/C79BBB5A-2D85-2343-824D-5319B4672839.root,0,960000,,1743698065.212616,1743698066.786924,1.425282,163.0,0,0.000417
41,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/256AAE58-DDF4-C44E-B33A-ABFC84CF8EE7.root,0,1280000,,1743698065.334268,1743698066.938627,1.453427,167.0,0,0.000417
45,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/03C84A48-9047-764A-941E-258A77585277.root,0,1280000,,1743698057.070196,1743698066.983475,11.70149,167.0,0,0.000417
75,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/07F196D4-5C39-CC42-9F56-B19566C4C411.root,0,960000,,1743698065.098913,1743698066.780608,1.409938,163.0,0,0.000417
98,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/D054A7BC-F56B-3449-AC90-13A424AEB278.root,0,960000,,1743698058.083877,1743698066.910022,10.884379,164.0,0,0.000417
11,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/85C9F160-4573-7E44-8594-5D156977A2B1.root,0,800000,,1743698058.855941,1743698067.441308,10.700002,162.0,0,0.000417
53,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/28AE318E-A365-9F4E-BF55-4F72B3B6FDCC.root,0,1280000,,1743698066.054462,1743698067.707703,1.497751,167.0,0,0.000417
42,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/74C36AED-4CB9-1A4D-A9E6-90278C68131C.root,0,1280000,,1743698066.210897,1743698067.824656,1.465437,167.0,0,0.000417
62,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/56691C32-EA20-7D48-81DF-0C36CAFFC63D.root,0,960000,,1743698066.133532,1743698067.697044,1.416691,163.0,0,0.000417
76,preprocessing,done,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/F689F2EB-6A85-CE46-9AB0-BF87D586AFFD.root,0,1280000,,1743698066.078617,1743698067.710787,1.485173,167.0,0,0.00042
